Organization,Country,Info,Organization categorization,All ML Systems
Vector Institute,Canada,,Academia,"Cutout-regularized net,AR-LDM,scFormer,CodonTransformer,MolPhenix,Intelligent Go-Explore (IGE),Llemma 34B,Llemma 7B,Diffusion Renderer,Difix3D+"
Verily Research,United States of America,,Industry,Molecular Diffusion Models with Virtual Receptors
Vilnius University,Lithuania,,Academia,ProteinGAN
Vingroup,Vietnam,,Industry,
VinUniversity,Vietnam,,Academia,"MGK 4 heads (medium),MGK 8 heads (small)"
Visterra Inc,United States of America,,Industry,BindCraft
Visual Computing Institute,Germany,,,TriNet
vivo AI lab,China,,Industry,"BlueLM 7B,BlueLM 70B,BlueLM 130B,BlueLM 175B"
VNG Corporation,Vietnam,,Industry,
Voltage Park,United States of America,,Industry,
Warsaw University,Poland,,Academia,Regularized SVD for Collaborative Filtering
Waseda University,Japan,,Academia,BERT-RBP
WeChat AI,China,,Industry,WeLM
Weizmann Institute of Science,Israel,https://www.weizmann.ac.il/pages/about-institute,Academia,"StarCoder,Lumiere"
Wellesley College,United States of America,,Academia,"StarCoder,SantaCoder"
West Virginia University,United States of America,,Academia,"Deep Learning Enabled Discovery of Kinase Drug Targets in Pharos,Graph-based Semi-Supervised Learning (GSSL) Model on MNIST"
Westlake University,China,,Academia,"DITTO,GGNN,OmegaPLM,ONLSTM-SYD,Memformer (4 encoder + 16 decoder),ProTrek,SaProt,Re-Dock,GeoAB,PPFlow,Baichuan-Omni"
Willamette University,United States of America,,Academia,
Williams College,United States of America,,Academia,"True-Regularization+Finetune+Dynamic-Eval,True-Regularization+Finetune"
Wolfram Research,United States of America,,Industry,PLAPT
Writer,United States of America,https://writer.com/blog/palmyra/,Industry,"Palmyra Large 20B,Palmyra X 004,Palmyra X 003,Palmyra Vision,Palmyra X5,Palmyra Fin,Palmyra Med"
Wroclaw Tech (Wrocław University of Science and Technology),Poland,,Academia,"RWKV-6 (Finch) 3B,RWKV-5 (Eagle) 7B"
Wuchang District People's Government,China,,Government,
Wuhan AI Computing Center,China,https://www.ovaijisuan.com/,Government,Zidong Taichu
Wuhan University,China,,Academia,"Vega v2,MAP-Neo"
Wuhan University of Science and Technology,China,,Academia,ERNIE-ViLG 2.0
Wuhu Integrated Intelligent Computing Center,China,,"Government,Industry",
X-Mechanics,United States of America,,Research collective,FNetAR Medium
xAI,United States of America,,Industry,"Grok-1,Grok-0,Grok-1.5,Grok-1.5V,Grok-2,Grok-2 mini,Grok 3,Grok-3 mini,Grok 4"
Xerox,United States of America,,Industry,"Multi-cause Binary Clustering,Fisher Kernel GMM"
Xerox Research Centre Europe (XRCE),France,,Industry,"Fisher-Boost,Fisher Vector image classifier"
Xi’an Jiaotong University,China,,Academia,"DnCNN,SPPNet,LongNet,DreamLLM,PMLM-large"
Xiaomi Corp,China,,Industry,"Frage-AWD-LSTM-MemoryAug-NeuralCache (WT2),Frage-AWD-LSTM-MemoryAug-NeuralCache (PTB),LSTM-MemoryAug (WT2),LSTM-MemoryAug (PTB),XiaoAI 6.0,MiMo-VL-7B-SFT,MiMo‑VL‑7B‑RL,Xiaomi Pengpai Image (小米澎湃图像),Xiaomi Edge-side Text (小米端侧文本),MiMo-7B-Base"
XTX Markets,United Kingdom of Great Britain and Northern Ireland,,Industry,
XVERSE Technology,China,http://www.xverse.cn/,Industry,"XVERSE-65B-2,XVERSE-13B-2,XVERSE-MoE-A4.2B"
Yahoo Research,United States of America,,Industry,MatrixFac for Recommenders
Yale School of Public Health,,,,GITIII
Yancheng Sub-center of Wuxi National Supercomputing Center,China,,Government,
Yandex,Russia,,Industry,"YaLM,YandexGPT 3,YaART,YandexGPT 5 Pro,YandexGPT 5 Lite,YandexGPT 4 Pro,YandexGPT 4 Lite"
Yangzhou University,China,,Academia,AFP-Deep
YDS Pharmatech,United States of America,,Industry,FragLlama
Yonsei University,Korea (Republic of),,Academia,StarGAN v2
York University,Canada,,Academia,"Gated HORNN (3rd order),2nd order FOFE-FNNLM"
Yotta Data Services,India,,Industry,
YTL Power,Malaysia,,Industry,
Zhejiang Lab,China,,,"BaGuaLu,InstructPLM,ParetoDrug,MPDF,ProTeM"
Zhejiang University (ZJU),China,,Academia,"base LM+GNN+kNN,OntoProtein,LLaMA-7B (protein-oriented instruction-tuned),EVA-01,base LM+GNN (WT103),ProtChatGPT,SaProt,InstructPLM,Re-Dock,MBP,RNADiffFold,ParetoDrug,MPDF,ProTeM,GeoAB,PPFlow,KnoMol,FastSpeech,FastSpeech 2,Meissonic,Xinyu,Baichuan-Omni"
Zhejiang University School of Medicine,China,,,"ALICE,KnoMol"
Zhengzhou University,China,,Academia,MsPBRsP
Zhijiang Lab,China,https://en.zhejianglab.org/,,AstroOne
Zhipu AI,China,https://www.zhipuai.cn/en/,Industry,"CodeGeeX,ChatGLM3-6B,CogVLM-17B,CogAgent,GLM-4V-9B,GLM-4 (0520),GLM-4 (0116),GLM-4,CogVideoX,GLM-4-Plus,AutoGLM Rumination"
Zhongyuan AI Computing Center,China,https://www.xckpjs.com/,Government,
Vultr,United States of America,,Industry,
EmbedWay Technologies (Shanghai) Corporation,China,https://www.embedway.com/?lang=en,Industry,
AI Company J,China,,Industry,
Bank J,China,,"Industry,Government",
Bank Z,China,,"Industry,Government",
Bank G,China,,"Industry,Government",
Bank I,China,,"Industry,Government",
Energy Company,China,,Industry,
Energy Company B,China,,Industry,
Manufacturing Company V,China,,Industry,
Manufacturing Industry O,China,,Industry,
Research Laboratory H,China,,Academia,
Telecom Company ,China,,Industry,
Network Company,China,,Industry,
Suzhou Supercomputing Center,China,,"Government,Industry",
National Taiwan University,Taiwan,,Academia,"Llama-3-Taiwan-70B
,TAIWAN-LLM 13B,TAIWAN-LLM 7B"
National Science and Technology Council,Taiwan,,Government,"TAIDE-LX-7B,TAIDE LX-13B,Llama 3-TAIDE-LX-8B-Chat-Alpha1"
Panasonic R&D,Singapore,,Industry,SAF R-CNN
Scala Data Centers,Brazil,,Industry,
Moonshot,China,,Industry,"Moonshot-v1,Kimi k1.5,Kimi Explorer,Kimi 1.6,k0-math,Kimi Dev 72b
,Kimi K2"
Centrin Data Group Limited,China,,Industry,
"China Communications Northwest Investment Development Co., Ltd.",China,,"Industry,Government",
"Shanghai WorldUnion Equity Investment Management Co., Ltd.",China,,Industry,
Hefei Big Data Asset Operation,China,,"Industry,Government",
"Zhongdian Zhiguang System Technology Co., Ltd.",China,,"Government,Industry",
Xinjiang SC Center,China,,"Government,Industry",
"Suzhou Big Data Group Co., Ltd.",China,,"Government,Industry",
Beijing Super Cloud Computing Center,China,,"Industry,Government",
StepFun,China,https://www.stepfun.com/,Industry,"Step-2,Step-1.5V,Step-1X,Step-Video-T2V,Step-Audio-Chat 130B,Step-1,Step-Omni,Step-Audio-TTS-3B"
Hong Kong University,Hong Kong,,Academia,"Depth Anything V2 Giant,Depth Anything V2 Large"
Chinese Supercomputing Center A,China,,"Industry,Government",
Inner Mongolia High-Performance Computing Center,China,,,
Tsinghua Tongfang,China,,Industry,
National Supercomputing Center in Tianjin,China,,"Government,Academia",
Financial Company B,China,,Industry,
Research Institute A,China,,Academia,
Energy Company C,China,,Industry,
Research Institute B,China,,Academia,
Manufacturing Company  D,China,,Industry,
Telecom Company E,China,,Industry,
Research Institute F,China,,Academia,
Financial Company G,China,,Industry,
Research Institute H,China,,Academia,
Bank K,China,,"Government,Industry",
Research Institute I,China,,Academia,
Internet Company K,China,,Industry,
Internet Company L,China,,Industry,
Internet Company M,China,,Industry,
Internet Company N,China,,Industry,
Internet Company P,China,,Industry,
Internet Company Q,China,,Industry,
Bank R,China,,"Industry,Government",
Chinese Supercomputing Center B,China,,"Industry,Government",
Internet Company R,China,,Industry,
"UCloud Technology Co., Ltd.",China,,Industry,
Internet Company S,China,,Industry,
Telecommunication Company T,China,,Industry,
Technology Company U,China,,Industry,
Internet Company V,China,,Industry,
Security Center W,China,,Government,
"Suanova Information Technology Co., Ltd",China,,Industry,
"Xinjiang Yin Feng Intelligent Computing Technology Co., Ltd.",China,,Industry,
National Supercomputing Center in Wuxi,China,,Government,
Recraft,United Kingdom of Great Britain and Northern Ireland,,Industry,"Recraft V3,Recraft V2 (Recraft 20B)"
"Xinjiang Hami State-owned Assets Investment and Operation Co., Ltd.",China,,"Government,Industry",
Arc Institute,,,,"Evo 2 40B,Evo 2 7B"
Goodfire,,,,"Evo 2 40B,Evo 2 7B"
JD Explore Academy,,,,Vega v2
Washington University in St Louis,,,,Vega v2
Chongqing University of Posts and Telecommunications,,,,Vega v2
Horizon Compute,United States of America,,,
Nscale,United Kingdom of Great Britain and Northern Ireland,,,
CICC Data Group,China,,Government,
Hanxin Technology,China,,Industry,
iGenius,,,Industry,
Retro Biosciences,United States of America,,Industry,GPT-4b micro
Figure AI,United States of America,,Industry,Helix
ShengShu,China,https://www.shengshu.com/en,Industry,"Vidu,Vidu 1.5,ProlificDreamer"
Saudi Data and Artificial Intelligence Authority,Saudi Arabia,,"Industry,Government","SauTech,ALLaM adapted13B
,ALLaM adapted 70B,ALLaM 7B,ALLaM 34B,SaudiTech"
Saudi Company for Artificial Intelligence,Saudi Arabia,,"Industry,Government",SauTech
United States Government,United States of America,,Government,
Japan Agency for Marine-Earth Science and Technology,Japan,,Government,
University of Alabama,United States of America,,Academia,"Prithvi WxC,Prithvi-EO-2.0 600M,Prithvi-EO-2.0 300M"
Colorado State University,,,,Prithvi WxC
Yayi (Wenge),China,https://www.wenge.com/,Industry,"YAYI-13B-Llama2,YaYi 2.0,YAYI-7B-Llama2,YaYi-7B,YAYI-Ultra"
Ruliad,United Kingdom of Great Britain and Northern Ireland,,Industry,DeepThought-8B
Inception Labs,United States of America,,Industry,"Mercury,Mercury Coder Mini,Mercury Coder Small"
Huddersfield University,United Kingdom of Great Britain and Northern Ireland,,Academia,YOLOv11
Wild Dolphin Project,United States of America,https://www.wilddolphinproject.org/,Research collective,DolphinGemma
National Oceanic and Atmospheric Administration (NOAA),United States of America,,Government,Whale Bioacoustics Model
Naturalis Biodiversity Center,Germany,,Government,Bird Vocalization Classifier (Perch)
Chemnitz University of Technology,Germany,,Academia,Bird Vocalization Classifier (Perch)
Northwestern Medicine,United States of America,,,"ELIXR-B,ELIXR-C"
Apollo Radiology International,India,,,"ELIXR-B,ELIXR-C"
InnoHK,Hong Kong,https://www.innohk.gov.hk/,Government,"OREAL 7B,OREAL 32B"
Playground,United States of America,,Industry,"Playground v2,Playground v2.5,Playground v3,SANA 1.5 4.8B"
"AI for Science Institute, Beijing (AISI)",China,https://www.aisi.ac.cn/,Government,Uni-Mol Molecular Model
Reverie Labs,United States of America,acquired by Ginkgo Bioworks in 2024,Industry,ChemBERTa
DeepChem,United States of America,https://deepchem.io/,Industry,ChemBERTa
Langboat,China,https://www.langboat.com/en,Industry,"Mengzi-Code-6.7B,MengziGPT-General-13B,Mengzi-Fin-7B,Mengzi-Fin-13B,MengziGPT-General-40B,MengziGPT-General-7B,Mengzi-Lite"
Zyphra,United States of America,,Industry,"Zamba2-7B,Zonos-v0.1"
Weitu AI,Hong Kong,,Industry,WeituAI 1.0
EFFYIC (识因智能),China,https://www.effyic.com/,Industry,"Yiye Qingzhou-0.7B,Yiye Qingzhou,Yiye Qingzhou-45B"
Typhoon / SCB 10X,Thailand,https://opentyphoon.ai/about,Industry,"Typhoon 2.1 Gemma 12B,Typhoon 2.1 Gemma 4B,Llama 3.1 Typhoon 2 70B,Llama 3.1 Typhoon 2 8B,Typhoon 2 7B,LLama 3.2 Typhoon 2 3B,LLama 3..2 Typhoon 2 1B,Typhoon2-Vision ,Typhoon2-Audio"
 Genesis Therapeutics,United States of America,https://genesistherapeutics.ai/,Industry,Boltz-1
Corvex.ai,United States of America,https://www.corvex.ai/,Industry,
Luminary Cloud,United States of America,https://www.luminarycloud.com/,Industry,SHIFT-SUV
Honda,Japan,,Industry,SHIFT-SUV
PleIAs,France,https://pleias.fr/,Industry,"Pleias-RAG-350m,Pleias-RAG-1B,Pleias 1.0 350m,Pleias 1.0 1.2B"
Deepgram,United States of America,https://deepgram.com/,Industry,"Nova-2,Nova-3"
Skywork AI,Singapore,https://skywork.ai/home,Industry,Meissonic
Technische Hochschule Ingolstadt,Germany,,Academia,Wuerstchen
Wand Technologies,United States of America,,Industry,Wuerstchen
Drahim,Saudi Arabia,,,Drahim PFM AI
Marin,United States of America,https://marin.community/blog/2025/05/19/announcement/,Research collective,Marin 8B
HiDream,China,international brand name: https://vivago.ai/,Industry,"HiDream-I1,HiDream Foundation Model 3.0,HiDream Foundation Model 1.0"
University of Iceland,Iceland,,Academia,"Prithvi-EO-2.0 600M,Prithvi-EO-2.0 300M"
Virginia Tech (Virginia Polytechnic Institute and State University),United States of America,,Academia,"Prithvi-EO-2.0 600M,Prithvi-EO-2.0 300M,ProRNA3D-Single"
Indosat,Indonesia,,Industry,Gemma2 9B CPT Sahabat-AI
Tech Mahindra,India,,Industry,Gemma2 9B CPT Sahabat-AI
AI Singapore,Singapore,"AI Singapore is a national programme supported by the National Research Foundation, Singapore and hosted by the National University of Singapore.",Government,"Gemma2 9B CPT Sahabat-AI,SEA-LION V3 Llama3.1 70B,SEA-LION V3 Llama3.1 8B,SEA-LION V3 Gemma2 9B,Llama SEA-LION V2 8B,SEA-LION V1 7B,SEA-LION V1 3B,SEA-LION-v1-7B-IT,Llama-SEA-LION-v2-8B-IT"
GoTo,Indonesia,,Government,Gemma2 9B CPT Sahabat-AI
Stargate (OpenAI),United States of America,,Industry,
DataVolt,Saudi Arabia,,Industry,
Humain,Saudi Arabia,,"Government,Industry",
Disney Research,"United States of America,Switzerland,United Kingdom of Great Britain and Northern Ireland",,Industry,DiT-XL/2 + CADS
Krea AI,United States of America,https://www.krea.ai/,Industry,Lumina-Image-2.0
City University of Hong Kong,Hong Kong,,Academia,MTDP
Unisound,China,,Industry,Shanhai
Institute for Advanced Algorithms Research,China,,Academia,Xinyu
State Key Laboratory of Media Convergence Production Technology and Systems,China,,Academia,Xinyu
Chengdu University of Traditional Chinese Medicine,China,,Academia,Bencao Zhiku
Rock AI / Shanghai Stonehill Technology,China,https://www.rockai.net/en,Industry,Yan
4Paradigm,China,,Industry,"Shishuo,Zhiyan (智言)"
LMMs-Lab,,https://www.lmms-lab.com/about/,Research collective,LLaVA-NeXT-32B-Qwen
Wayve,United Kingdom of Great Britain and Northern Ireland,,Industry,"LINGO-2,PRISM-1,GAIA-2,GAIA-1"
Cleveland Clinic,United States of America,,Academia,CLEAN-Contact
Kent State University,United States of America,,Academia,CLEAN-Contact
Pacific Northwest National Laboratory,United States of America,,Government,CLEAN-Contact
Kansas State University,United States of America,,Academia,CLR_ESP
Wageningen University and Research,Netherlands,,Academia,ProteinMPNN
Beijing 58 Information Technology,China,,Industry,"LinGan VL (临感VL),ChatLing (灵犀大模型)"
Zhujian Intelligence,China,,Industry,"Zhuhai-13B
"
CloudWalk Technology,China,a CAS-spun AI company founded in 2015,"Industry,Academia",CongRong (从容大模型)
"Shanghai Digivio Information Technology Co., Ltd.",China,,Industry,"Digivio (迪智伟奥DIGIVIO)


"
"Beijing Yuanshi Technology Co., Ltd.",,,,Yuanshi (元石大模型)
"West Lake Xinchen ( Hangzhou ) Technology Co., Ltd.",China,,Industry,West Lake (“Xīhú / 西湖大模型”)
"Beijing OrionStar Technology Co., Ltd.",China,,Industry,Orion Star (猎户星空大模型)
Shenzhen Honor Software Technology,China,,Industry,Magic LLM (魔法大模型)
Beijing Weimeng Chuangke Network Technology,China,,Industry,Zhiwei (知微大模型)
All Hands AI,United States of America,,Industry,Devstral
Beijing Zhizhe Tianxia Technology,China,,Industry,ZhihaiTu AI (知海图)
"Qilin Hesheng Network Technology Co., Ltd. (APUS)",China,,Industry,"APUS-xDAN-4.0(MoE),AiLMe-100B v3"
"Zhejiang Lianxin Digital Co., Ltd.",China,,Industry,Insights into Human Harmony (洞见人和)
"Wuxi Sixiang Digital Intelligence Technology Co., Ltd.",China,,Industry,Jinshi (金石大模型)
"Shiyin Intelligent Technology Co., Ltd.",China,,Industry,Skiff LLM (一叶轻舟大语言模型)
"Beijing Zhijing Yunchuang Technology Co., Ltd.",China,,Industry,Zhizhe Qianwen (智者千问大语言模型)
"Shuchi Information Technology ( Shanghai ) Co. , Ltd.",China,,Industry,Hanhai (瀚海)
"Shanghai Lingyi Artificial Intelligence Technology Co., Ltd.",China,,Industry,Baigong (百工)
"Troy Information Technology Co., Ltd.",China,,Industry,Gezhi (格致大模型)
"Zhixin Shuchuang (Chongqing) Technology Co., Ltd.",China,wholly owned—through several layers—by Ant Group,Industry,Phoenix (凤凰大模型)
"Thunder Software Technology Co.,Ltd.",China,,Industry,Rubik (Rubik魔方大模型)
"Shanghai Zhixiang Future Computer Technology Co., Ltd.",China,,Industry,Zhixiang 3.0 (智象)
Zhuhai Wujiefangzhou Intelligent Technology,China,,Industry,Ark LLM (方舟大模型)
Transwarp Technology,China,,Industry,Infinity (无涯)
Infinigence AI,China,,Industry,Megrez-3B-Omni
"Shanghai Shuheng Information Technology Co., Ltd.",China,,Industry,Mingzhi Guwen
Hanweb,China,,Industry,Galaxy (星汉Galaxy大模型)
"Chengdu Xiaoduo Technology Co., Ltd.",China,,Industry,XPT “Xiao Model” (晓模型XPT)
Guangzhou Lingju Information Technology Co Ltd.,China,,Industry,Lingju Lingnao
Zhuoshi Technology,China,"ZhuoShi Technology was established in Haidian District, Beijing at the end of 2018. It was founded by core product and technology teams from Baidu, Lenovo and other companies. ",Industry,Xuanji Yuheng (璇玑玉衡)
CreditEase,China,,Industry,MiLi (米粒)
Suzhou Jueqing Diyu Intelligent Technology,China,,Industry,Jueqing LLM (觉卿大模型)
"Shanghai Xingzhi Technology Co., Ltd.",China,,Industry,Aha (大模型)
"Chengdu Tasi Technology Co., Ltd.",China,,Industry,TasiChat (TasiChat大模型)
"Beijing Beida Software Engineering Co., Ltd.",China,,Industry,Beiruan (北软大模型)
"Xiaoyu Intelligence Information Technology (Yunnan) Co., Ltd",China,,Industry,Xiaoyu Q&A
"Jiangsu Huizhi Intelligent Digital Technology Co., Ltd.",China,,Industry,CarrotAI (CarrotAI大模型)
SoundAI,China,,Industry,YiYuan (壹元大模型)
"Beijing Lituo Feiyuan Technology Co., Ltd.",China,,Industry,Xinyuan (心元大模型)
"Beijing Shengshu Technology Co., Ltd.",,,,UniDiffuser (多模态大模型)
Beijing Bitauto Interactive Advertising Company Limited,China,,Industry,Lantu (蓝图大模型)
"Beijing Lingxin Intelligent Technology Co., Ltd.",China,,Industry,CharacterGLM
Intelligent Internet,United Kingdom of Great Britain and Northern Ireland,ii.inc,Industry,II-Medical-8B
International Digital Economy Academy,,,,Grounding Dino L
Moonvalley,Canada,,Industry,Marey
Hedra AI,United States of America,,Industry,Character-3
"China Post Consumer Finance Co., Ltd.",China,,Industry,Youyuanjian (邮远见)
Hisense,China,,Industry,Xinghai (星海)
Basque Center on Cognition,Spain,,Academia,Brain2Qwerty
ElevenLabs,United States of America,,Industry,"Eleven Scribe,Eleven Flash v2.5,Eleven Turbo v2.5,Eleven v3,Eleven Multilingual v2,Eleven Multilingual v1,Eleven Monolingual v1"
Leonardo AI,Australia,,Industry,Phoenix 1.0 Ultra
Zhejiang Television,China,Chinese satellite TV,Industry,ZhiMeiGuo (智媒果)
"Xinhua Zhiyun Technology Co., Ltd.",China,an intelligent technology company jointly established by Xinhuanet and Alibaba,Industry,Zhiyun Culture LLM (智云文化大模型) 
Voyage AI,United States of America,,Industry,"voyage-code-3,voyage-code-2,voyage-3.5,voyage-3-large"
NIO,China,a Chinese electric vehicle company headquartered in Shanghai,Industry,"NOMI GPT,NIO World Model (蔚来大模型)"
People's Daily,China,state-controlled media,Government,Baize (白泽)
ZTE,China,,Industry,"Nebula (星云大模型),NTele-R1-32B-V1"
Zero Gravity Labs (0g AI),United States of America,https://0g.ai/,Industry,DiLoCoX (Qwen1.5-107B on WT-103)
Haiper,United Kingdom of Great Britain and Northern Ireland,,Industry,Haiper 2.0
Lightricks,Israel,https://www.lightricks.com/,Industry,"LTX-Video-0.9.1. 2B,LTX-Video-0.9.5. 2B,LTX-Video-0.9.7. 13B distilled,LTX-Video-0.9.7. 13B "
SpeakLeash,Poland,https://speakleash.org/en/speakleash-a-k-a-spichlerz-english/,Research collective,"Bielik 7B,Bielik-11B-v2"
Cyfronet AGH,Poland,,Academia,"Bielik 7B,Bielik-11B-v2"
Cartesia,United States of America,,Industry,"Sonic,Sonic 2,Ink Whisper,Hybrid-Phi-Mamba-1.5B"
Fish Audio,United States of America,https://fish.audio/,Industry,"Fish-Speech 1.4,Fish-Speech 1.5,OpenAudio-S1-mini ,OpenAudio-S1"
Hume,United States of America,,Industry,"OCTAVE 8B,EVI 2,OCTAVE 3B,EVI 3,EVI"
Papla Media,Poland,,Industry,Papla P1
"Shanghai Kuanyu Digital Technology Co., Ltd. (Bilibili)",,,,Index-1.9B
"Hangzhou EZVIZ Software Co., Ltd. (Hikvision)",China,,Industry,BlueOcean LLM 2.0 (萤石蓝海)
Lenovo,China,,Industry,"Tianxi-7B,Tianxi-32B,Tianxi-72B"
Moore Threads,China,,Industry,MooER
Pinterest,United States of America,,Industry,TransAct
LinkedIn,United States of America,,Industry,Talent Search and Recommendation Systems
University of Tübingen,Germany,,Academia,StyleGAN-XL
Tik Tok,China,,Industry,"Depth Anything V2 Giant,Depth Anything V2 Large"
Speechmatics,United Kingdom of Great Britain and Northern Ireland,,Industry,"Speechmatics Enhanced,Speechmatics Standard"
Digital Realty,United States of America,,Industry,
University of Nottingham,United Kingdom of Great Britain and Northern Ireland,,Academia,Aeneas
Athens University of Economics and Business,Greece,,Academia,Aeneas
T-Bank,Russia,,Industry,"T-Pro 2.0,T-Pro,T-Lite"
Harmonic,United States of America,,Industry,Aristotle
hexgrad,,,,"Kokoro v1.0,Kokoro v0.19"
Technische Universit¨ at M¨ unchen,,,,
Meituan Inc,China,,Industry,OV-DINO
Pengcheng Lab,China,,Academia,OV-DINO
310.ai,United States of America,https://310.ai/,Industry,MP4
Deemos Technology,China,,Industry,CLAY
University of Surrey,United Kingdom of Great Britain and Northern Ireland,,Academia,DAC-CSR
Cisco,United States of America,,Industry,Foundation-sec-8b
Earth Species Project,United States of America,https://www.earthspecies.org/about-us,Research collective,NatureLM-audio
Mahidol University,Thailand,,Academia,"OpenThaiGPT v1.0.0 (7B),OpenThaiGPT v1.0.0 (13B),OpenThaiGPT 1.6 /  OTG-1.6 (72B),OpenThaiGPT R1 32b / OTG-R1 (32B)"
AI Entrepreneurs Association of Thailand,Thailand,,,"OpenThaiGPT v1.0.0 (7B),OpenThaiGPT v1.0.0 (13B),OpenThaiGPT 1.6 /  OTG-1.6 (72B),OpenThaiGPT R1 32b / OTG-R1 (32B)"
